experiment,fov,culturepoint,whole.coords,focus.initiator,when.identified,frame.appears,time.appears,frame.disappears,time.disappears,gfp.survival.time,last.positive.cbf,interval.before.death,neg.cbf.before.death,n.plauscbfs.b4death,n.cbfs.b4death,median.beat.24,median.beat.48,median.beat.72,median.beat.96,median.beat.120,median.beat.168,median.beat.216,notes,topography,,
multitest,362,3,,,,,,,,,,,,,,,,,,,,,yes,trackable persisters and disappearers,,
multitest,369,6,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,375,6,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,376,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,377,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,378,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,379,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,380,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,382,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,383,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,384,7,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer,,
multitest,385,7,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearers,,
multitest,386,7,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearers,,
multitest,387,7,,,,,,,,,,,,,,,,,,,,,yes,trackable mix,,
multitest,388,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,389,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,390,7,,,,,,,,,,,,,,,,,,,,,yes,trackable mix,,
multitest,391,7,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer,,
multitest,392,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,393,7,,,,,,,,,,,,,,,,,,,,,yes,trackable mix,,
multitest,394,7,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer,,
multitest,395,7,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer,,
multitest,396,7,,,,,,,,,,,,,,,,,,,,,yes,needs a double check. Got out of syn,,
multitest,397,7,,,,,,,,,,,,,,,,,,,,,yes,trackable mix,,
multitest,398,7,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer,,
multitest,399,7,,,,,,,,,,,,,,,,,,,,,yes,trackable mix,,
multitest,400,7,,,,,,,,,,,,,,,,,,,,,yes,trackable persister,,
multitest,401,7,,,,,,,,,,,,,,,,,,,,,yes,trackable mix,,
