"","hpi_category","status","experiment","culturepoint","total","donor","hpi","powerful","plaus","ultraplaus","low","medpower","medlogpower","medfreq","medofplaus","medofultraplaus","powerbeatin"
"222","72","mock","cilia",3,458752,3,72,0.838171822684152,0.96671622140067,0.881622314453125,0.0846208844866071,0.0007817682635504,-3.10692196405169,7.75,7.75,7.75,0.830858503069196
"223","72","mock","cilia",6,655360,4,72,0.652720642089844,0.845326232910156,0.827116394042969,0.0147750854492187,0.0003466205380391,-3.46014570796003,6.25,5.75,5.75,0.634201049804688
"224","72","mock","cilia",7,589824,2,72,0.603279961480035,0.901960584852431,0.830015394422743,0.0710652669270833,0.0003491223469609,-3.45702235155806,8,7.75,8,0.596343994140625
"225","72","mock","longcilia2",1,2162688,3,72,0.956212824041193,0.973991162849195,0.843554872455019,0.129431059866241,0.0019494502339512,-2.71008784711173,7.66666666666667,7.66666666666667,8,0.941864476059422
"226","72","mock","longcilia2",4,2293760,5,72,0.955863298688616,0.978330775669643,0.796162632533482,0.18133544921875,0.00186003872659055,-2.73047801354043,7.66666666666667,7.33333333333333,7.66666666666667,0.943664986746652
"227","72","mock","longcilia2",5,2359296,5,72,0.856050279405382,0.935344696044922,0.848040262858073,0.086677975124783,0.00165392406051975,-2.78148443484085,10.3333333333333,10.3333333333333,10.3333333333333,0.829419453938802
"228","72","mock","longcilia2",8,2228224,7,72,0.914869869456572,0.952400656307445,0.738638485179228,0.210827546961167,0.0019022583728656,-2.72073049565989,10.3333333333333,10.3333333333333,10.6666666666667,0.89089651668773
"229","72","mock","longcilia2",9,2293760,7,72,0.746602085658482,0.959256417410714,0.897826712472098,0.0597926548549107,0.0004922864318359,-3.3077821338799,6,5.66666666666667,6,0.741334315708705
"230","72","mock","longcilias",1,2228224,4,72,0.575184541590073,0.772591085994945,0.60094586540671,0.168549032772289,0.0002648579538799,-3.57698698034864,7.66666666666667,6.66666666666667,7.33333333333333,0.543022604549632
"231","72","mock","longcilias",2,2228224,4,72,0.432179619284237,0.617582433363971,0.553102381089154,0.0607946059283088,0.00017033944459395,-3.76868477314179,8.66666666666667,6.33333333333333,6.66666666666667,0.371599982766544
"232","72","mock","longcilias",7,2162688,7,72,0.682157574277936,0.755519520152699,0.638110074129972,0.114359537760417,0.00047400967741845,-3.32421279164548,12,11.3333333333333,11.6666666666667,0.618862730084044
"233","72","mock","longcilias",8,1900544,7,72,0.827351537244073,0.82794136836611,0.661726852943157,0.161626881566541,0.00103019288508215,-2.98708145385384,12,11.3333333333333,12,0.775188051421067
"234","72","mock","longcilias",9,2228224,8,72,0.439087362850414,0.665731542250689,0.569453968721278,0.093773785759421,0.00016123030945885,-3.79255331244792,9,7.33333333333333,7.66666666666667,0.408147475298713
"235","72","mock","longcilias",10,2293760,8,72,0.527464076450893,0.749225289481027,0.585691179547991,0.161329868861607,0.00022223108680915,-3.65319518983554,8,7,7.66666666666667,0.503912789481027
"236","72","mock","multicilia",4,3866624,8,72,0.575845492088189,0.909613140558792,0.508848028667903,0.397025156829317,0.00025920818734445,-3.58635128496835,8,7.33333333333333,9.33333333333333,0.562483189469677
"237","72","mock","multicilia",5,1966080,8,72,0.889289347330729,0.959644571940104,0.633072916666667,0.324363199869792,0.00072092624031935,-3.14210916671053,8.33333333333333,8,9,0.866758728027344
"238","72","mock","multicilia",8,2490368,7,72,0.731086730957031,0.864580254805715,0.815467031378495,0.0477760716488487,0.00048012872866815,-3.31864230709335,10,9,9.33333333333333,0.698442559493215
"239","72","mock","multicilia",9,2228224,7,72,0.467259126551011,0.725819756002987,0.70951753504136,0.0137580422794118,0.0001827534069889,-3.73813451793955,7.66666666666667,6.33333333333333,6.66666666666667,0.447029113769531
